goos: linux
goarch: amd64
pkg: github.com/TomTonic/Set3
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)-24         	185967667	        19.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#01-24      	182815675	        19.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#02-24      	185233640	        19.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#03-24      	160517830	        22.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#04-24      	259979920	        13.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#05-24      	181262338	        19.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#06-24      	182865537	        19.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#07-24      	256349499	        14.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#08-24      	186092181	        19.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(0)#09-24      	182941322	        19.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)-24         	226165165	        15.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#01-24      	225346591	        15.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#02-24      	257662008	        13.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#03-24      	192018596	        18.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#04-24      	252223132	        14.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#05-24      	184849688	        19.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#06-24      	226082746	        15.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#07-24      	185035839	        19.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#08-24      	219755602	        16.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(1)#09-24      	250700883	        14.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)-24         	194401546	        18.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#01-24      	193137570	        18.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#02-24      	224136746	        15.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#03-24      	224342224	        15.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#04-24      	159086118	        22.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#05-24      	159487039	        22.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#06-24      	181263576	        19.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#07-24      	185814094	        19.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#08-24      	190192256	        18.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(2)#09-24      	223879023	        15.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)-24         	254785578	        13.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#01-24      	221210605	        16.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#02-24      	255146475	        13.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#03-24      	193550888	        18.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#04-24      	188148207	        19.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#05-24      	218987510	        15.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#06-24      	183260805	        19.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#07-24      	225296773	        15.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#08-24      	185864812	        19.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(3)#09-24      	172952658	        20.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)-24         	255976545	        13.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#01-24      	222681594	        16.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#02-24      	220735129	        16.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet3Find/init(30);final(30);hit(0.300000)-s(4)#03-24      	224288317	        15.85 ns/op	       0 B/op	       0 allocs/op
